Data,State,EV Sales (2017),YOY EV Sales Increase (2016-17),EV Market Share (2017),Public EV Charging Stations (2018),No. of People per Charging Station,EV Fuel Cost per eGallon (2018),Avg Gasoline Cost per Gallon (2018),Fuel Cost Difference (2018),Most Popular EV by Search Volume
40,South Carolina,$1.17,0.15,1.47,8.53,,,,,
41,South Dakota,$1.10,0.11,1.13,8.87,,,,,
42,Tennessee,$0.99,0.06,0.59,9.41,,,,,
43,Texas,$1.06,0.09,0.93,9.07,,,,,
44,Utah,$0.98,0.05,0.54,9.46,,,,,
45,Vermont,$1.67,0.39,3.92,6.08,,,,,
46,Virginia,$1.12,0.12,1.23,8.77,,,,,
47,Washington,$0.88,0,0.05,9.95,,,,,
48,West Virginia,$1.07,0.1,0.98,9.02,,,,,
49,Wisconsin,$1.38,0.25,2.5,7.5,,,,,
50,Wyoming,$1.09,0.11,1.08,8.92,,,,,
,,,,,,,,,,
,State,No. of People per Charging Station,Normalised,Reversed,Score,,,,,
1,Alabama,"36,930",0.42,4.23,5.77,,,,,
2,Alaska,"82,199",1,10,0,,,,,
3,Arizona,"14,802",0.14,1.41,8.59,,,,,
4,Arkansas,"30,043",0.33,3.35,6.65,,,,,
5,California,"7,942",0.05,0.53,9.47,,,,,
6,Colorado,"7,681",0.05,0.5,9.5,,,,,
7,Connecticut,"10,585",0.09,0.87,9.13,,,,,
8,Delaware,"20,467",0.21,2.13,7.87,,,,,
9,Florida,"17,890",0.18,1.8,8.2,,,,,
10,Georgia,"13,527",0.12,1.24,8.76,,,,,
11,Hawaii,"5,555",0.02,0.23,9.77,,,,,
12,Idaho,"26,827",0.29,2.94,7.06,,,,,
13,Illinois,"15,689",0.15,1.52,8.48,,,,,
14,Indiana,"15,761",0.15,1.53,8.47,,,,,
15,Iowa,"8,502",0.06,0.6,9.4,,,,,
16,Kansas,"13,613",0.13,1.25,8.75,,,,,
17,Kentucky,"27,666",0.3,3.05,6.95,,,,,
18,Louisiana,"41,091",0.48,4.76,5.24,,,,,
19,Maine,"9,611",0.07,0.74,9.26,,,,,
20,Maryland,"10,223",0.08,0.82,9.18,,,,,
21,Massachusetts,"11,909",0.1,1.04,8.96,,,,,
22,Michigan,"14,958",0.14,1.43,8.57,,,,,
23,Minnesota,"8,424",0.06,0.59,9.41,,,,,
24,Mississippi,"51,450",0.61,6.08,3.92,,,,,
25,Missouri,"12,326",0.11,1.09,8.91,,,,,
26,Montana,"29,180",0.32,3.24,6.76,,,,,
27,Nebraska,"11,429",0.1,0.98,9.02,,,,,
28,Nevada,"12,704",0.11,1.14,8.86,,,,,
29,New Hampshire,"13,843",0.13,1.28,8.72,,,,,
30,New Jersey,"32,867",0.37,3.71,6.29,,,,,
31,New Mexico,"24,566",0.27,2.65,7.35,,,,,
32,New York,"17,802",0.18,1.79,8.21,,,,,
33,North Carolina,"16,103",0.16,1.57,8.43,,,,,
34,North Dakota,"13,024",0.12,1.18,8.82,,,,,
35,Ohio,"20,598",0.21,2.14,7.86,,,,,
36,Oklahoma,"18,990",0.19,1.94,8.06,,,,,
37,Oregon,"6,939",0.04,0.4,9.6,,,,,
38,Pennsylvania,"23,283",0.25,2.49,7.51,,,,,
39,Rhode Island,"12,767",0.11,1.15,8.85,,,,,
40,South Carolina,"17,944",0.18,1.81,8.19,,,,,
41,South Dakota,"8,283",0.06,0.57,9.43,,,,,
42,Tennessee,"14,350",0.13,1.35,8.65,,,,,
43,Texas,"20,951",0.22,2.19,7.81,,,,,
44,Utah,"13,847",0.13,1.28,8.72,,,,,
45,Vermont,"3,780",0,0,10,,,,,
46,Virginia,"16,543",0.16,1.63,8.37,,,,,
47,Washington,"8,923",0.07,0.66,9.34,,,,,
48,West Virginia,"19,114",0.2,1.96,8.04,,,,,
49,Wisconsin,"13,172",0.12,1.2,8.8,,,,,
50,Wyoming,"10,728",0.09,0.89,9.11,,,,,
,,,,,,,,,,
,State,YOY EV Sales Increase (2016-17),Normalised,Score,,,,,,
1,Alabama,15.50%,0.15,1.55,,,,,,
2,Alaska,-9.60%,0.01,0.1,,,,,,
3,Arizona,31.40%,0.25,2.46,,,,,,
4,Arkansas,35.50%,0.27,2.69,,,,,,
5,California,28.50%,0.23,2.29,,,,,,
6,Colorado,53.30%,0.37,3.72,,,,,,
7,Connecticut,52.50%,0.37,3.67,,,,,,
8,Delaware,19.00%,0.17,1.75,,,,,,
9,Florida,5.10%,0.09,0.95,,,,,,
10,Georgia,-0.30%,0.06,0.64,,,,,,
11,Hawaii,58.00%,0.4,3.99,,,,,,
12,Idaho,12.60%,0.14,1.38,,,,,,
13,Illinois,41.80%,0.31,3.06,,,,,,
14,Indiana,39.00%,0.29,2.89,,,,,,
15,Iowa,54.60%,0.38,3.79,,,,,,
16,Kansas,17.70%,0.17,1.67,,,,,,
17,Kentucky,28.60%,0.23,2.3,,,,,,
18,Louisiana,4.80%,0.09,0.93,,,,,,
19,Maine,55.70%,0.39,3.85,,,,,,
20,Maryland,48.50%,0.34,3.44,,,,,,
21,Massachusetts,59.40%,0.41,4.07,,,,,,
22,Michigan,10.50%,0.13,1.26,,,,,,
23,Minnesota,29.10%,0.23,2.33,,,,,,
24,Mississippi,82.90%,0.54,5.42,,,,,,
25,Missouri,32.20%,0.25,2.5,,,,,,
26,Montana,44.40%,0.32,3.21,,,,,,
27,Nebraska,26.20%,0.22,2.16,,,,,,
28,Nevada,12.10%,0.13,1.35,,,,,,
29,New Hampshire,63.50%,0.43,4.3,,,,,,
30,New Jersey,26.50%,0.22,2.18,,,,,,
31,New Mexico,45.30%,0.33,3.26,,,,,,
32,New York,67.00%,0.45,4.5,,,,,,
33,North Carolina,23.10%,0.2,1.98,,,,,,
34,North Dakota,-2.50%,0.05,0.51,,,,,,
35,Ohio,28.30%,0.23,2.28,,,,,,
36,Oklahoma,162.70%,1,10,,,,,,
37,Oregon,14.40%,0.15,1.48,,,,,,
38,Pennsylvania,11.60%,0.13,1.32,,,,,,
39,Rhode Island,44.80%,0.32,3.23,,,,,,
40,South Carolina,19.80%,0.18,1.79,,,,,,
41,South Dakota,113.50%,0.72,7.17,,,,,,
42,Tennessee,-7.50%,0.02,0.22,,,,,,
43,Texas,20.20%,0.18,1.82,,,,,,
44,Utah,2.50%,0.08,0.8,,,,,,
45,Vermont,69.50%,0.46,4.65,,,,,,
46,Virginia,36.10%,0.27,2.73,,,,,,
47,Washington,31.80%,0.25,2.48,,,,,,
48,West Virginia,59.20%,0.41,4.06,,,,,,
49,Wisconsin,-11.40%,0,0,,,,,,
50,Wyoming,24.40%,0.21,2.06,,,,,,
