Unique City,No. of Charge Stations
"GOSHEN, IN",2
"GOSHEN, NY",1
"GOTHENBURG, NE",1
"GOVERNMENT CAMP, OR",1
"GOWANDA, NY",1
"GOWANUS, NY",1
"GRAEAGLE, CA",2
"GRAFTON, MA",1
"GRAFTON, VT",2
"GRAFTON, WV",1
"GRAHAM, NC",1
"GRAIN VALLEY, MO",1
"GRANADA HILLS, CA",4
"GRANBURY, TX",2
"GRANBY, CT",1
"GRAND BLANC, MI",3
"GRAND CANYON VILLAGE, AZ",6
"GRAND CANYON, AZ",2
"GRAND FORKS, ND",4
"GRAND ISLAND, NE",2
"GRAND ISLAND, NY",2
"GRAND JUNCTION, CO",19
"GRAND LAKE, CO",1
"GRAND MARAIS, MN",1
"GRAND PRAIRIE, TX",8
"GRAND RAPIDS, MI",37
"GRAND RAPIDS, MN",2
"GRAND RONDE, OR",1
"GRAND TERRACE, CA",1
"GRANDVIEW HEIGHTS, OH",2
"GRANDVIEW, MO",4
"GRANDVILLE, MI",6
"GRANGEVILLE, ID",1
"GRANITE BAY, CA",3
"GRANITE CITY, IL",2
"GRANITE FALLS, NC",1
"GRANTS PASS, OR",7
"GRANTS, NM",2
"GRANTSVILLE, MD",1
"GRANTSVILLE, UT",2
"GRANVILLE, OH",3
"GRANVILLE, TN",1
"GRAPEVINE, TX",6
"GRASONVILLE, MD",3
"GRASS VALLEY, CA",4
"GRAWN, MI",1
"GRAY, GA",1
"GRAY, LA",1
"GRAY, TN",1
"GRAYLAND, WA",1
"GRAYSLAKE, IL",3
"GRAYSON, GA",2
"GREAT BARRINGTON, MA",1
"GREAT FALLS, MT",4
"GREAT NECK, NY",1
"GREELEY, CO",8
"GREEN BAY, WI",10
"GREEN LAKE, WI",1
"GREEN RIVER, UT",2
"GREENACRES, FL",3
"GREENBELT, MD",1
"GREENBRAE, CA",2
"GREENEVILLE, TN",3
"GREENFIELD, CA",1
"GREENFIELD, IN",3
"GREENFIELD, MA",6
"GREENFIELD, WI",1
"GREENLAWN, NY",1
"GREENOUGH, MT",1
"GREENPORT, NY",2
"GREENS GRANT, NH",2
"GREENSBORO, GA",2
"GREENSBORO, NC",19
"GREENSBURG, IN",1
"GREENSBURG, KS",1
"GREENSBURG, PA",2
"GREENVALE, NY",1
"GREENVILLE, AL",2
"GREENVILLE, KY",1
"GREENVILLE, ME",2
"GREENVILLE, MS",1
"GREENVILLE, NC",6
"GREENVILLE, NY",1
"GREENVILLE, SC",37
"GREENVILLE, TX",1
"GREENWICH, CT",9
"GREENWOOD VILLAGE, CO",7
"GREENWOOD, IN",3
"GREENWOOD, ME",1
"GREENWOOD, MS",1
"GREENWOOD, SC",1
"GREER, SC",11
"GRENADA, MS",2
"GRESHAM, OR",6
"GRETNA, NE",2
"GRIFFIN, GA",2
"GRIFFITH, IN",1
"GRINNELL, IA",1
"GROTON, CT",9
"GROVE CITY, OH",7
"GROVE CITY, PA",2
"GROVELAND, CA",5
"GROVELAND, MA",1
"GROVEPORT, OH",2
"GROVER BEACH, CA",3
"GUADALUPE, CA",1
"GUERNEVILLE, CA",3
"GUILDERLAND, NY",4
"GUILFORD, CT",3
"GUILFORD, VT",1
"GULF BREEZE, FL",1
"GULF SHORES, AL",3
"GULFPORT, FL",2
"GULFPORT, MS",5
"GUNNISON, CO",3
"GUNTERSVILLE, AL",1
"GURNEE, IL",1
"GUSTINE, CA",3
"GUYMON, OK",1
"GYPSUM, CO",4
"HACIENDA HEIGHTS, CA",1
"HADDON TOWNSHIP, NJ",1
"HADLEY, MA",5
"HAGERSTOWN, MD",10
"HAIKU, HI",2
"HAILEY, ID",3
"HAINES CITY, FL",2
"HAINESPORT, NJ",1
"HALAWA, HI",2
"HALEIWA, HI",1
"HALES CORNERS, WI",1
"HALETHORPE, MD",1
"HALF MOON BAY, CA",9
"HALFMOON, NY",1
"HALLANDALE BEACH, FL",4
"HALLANDALE, FL",1
"HALLOWELL, ME",2
"HALSEY, OR",1
"HAMBURG, NY",4
"HAMDEN, CT",3
"HAMILTON SQUARE, NJ",1
"HAMILTON TOWNSHIP, NJ",4
"HAMILTON, MA",1
"HAMILTON, NY",2
"HAMILTON, OH",1
"HAMILTON, VA",1
"HAMLET, NC",2
"HAMMOND, IN",2
"HAMMOND, LA",3
"HAMMONDSPORT, NY",1
"HAMPSTEAD, MD",3
"HAMPTON BAYS, NY",2
"HAMPTON, GA",1
"HAMPTON, VA",5
"HAMPTONVILLE, NC",1
"HANCOCK, MA",1
"HANCOCK, MD",4
"HANCOCK, NH",1
"HANFORD, CA",13
"HANNACROIX, NY",2
"HANOVER, MA",2
"HANOVER, MD",8
"HANOVER, ME",1
"HANOVER, NH",1
"HANOVER, PA",1
"HANSON, MA",2
"HAPEVILLE, GA",4
"HAPPY VALLEY, OR",9
"HARBOR CITY, CA",1
"HARBOR SPRINGS, MI",1
"HARDEEVILLE, SC",2
"HARDWICK, MA",1
"HARDWICK, VT",1
"HARKER HEIGHTS, TX",1
"HARLINGEN, TX",2
"HARMANS, MD",1
"HARMONY, PA",1
"HARPERS FERRY, WV",2
"HARRIMAN, NY",3
"HARRISBURG, NC",1
"HARRISBURG, PA",9
"HARRISON, NJ",3
"HARRISON, NY",2
"HARRISONBURG, VA",12
"HARRODSBURG, KY",1
"HART'S LOCATION, NH",1
"HART, MI",1
"HARTFORD, CT",25
"HARTFORD, VT",2
"HARTFORD, WI",1
"HARTLAND, VT",1
"HARTLE CT, CA",1
"HARTSDALE, NY",2
"HARTSELLE, AL",1
"HARTSVILLE, SC",2
"HARVEY, IL",1
"HARVEY, LA",2
"HARWICH, MA",1
"HARWINTON, CT",1
"HASBROUCK HEIGHTS, NJ",2
"HASTINGS, MI",2
"HASTINGS, MN",4
"HASTINGS, NE",1
"HASTINGS-ON-HUDSON, NY",1
"HATHORNE, MA",1
"HATTERAS, NC",1
"HATTIESBURG, MS",4
"HAUPPAUGE, NY",3
"HAVERFORD, PA",1
"HAVERHILL, MA",3
"HAVERSTRAW, NY",1
"HAVRE DE GRACE, MD",4
"HAWAIIAN GARDENS, CA",2
"HAWI, HI",1
"HAWLEY, PA",3
"HAWTHORNE, CA",10
"HAWTHORNE, NJ",2
"HAWTHORNE, NV",2
"HAWTHORNE, NY",1
"HAYMARKET, VA",2
"HAYS, KS",3
"HAYTI, MO",1
"HAYWARD, CA",53
"HAYWARD, MN",1
"HAZEL CREST, IL",1
"HAZELWOOD, MO",1
"HAZLET, NJ",1
"HEALDSBURG, CA",29
"HEATH, OH",1
"HEBER CITY, UT",2
"HEBER SPRINGS, AR",2
"HEBRON, CT",2
"HEBRON, KY",3
"HEFLIN, AL",1
"HELEN, GA",2
"HELENA, MT",4
"HEMET, CA",6
"HEMPSTEAD, NY",1
"HEMPSTEAD, TX",1
"HENDERSON, NC",4
"HENDERSON, NV",16
"HENDERSONVILLE, NC",7
"HENDERSONVILLE, TN",1
"HENNIKER, NH",1
"HENRICO, VA",3
"HENRIETTA, NY",1
"HENRIETTA, TX",1
"HENRYETTA, OK",2
"HEPPNER, OR",1
"HERKIMER, NY",2
"HERMANTOWN, MN",2
"HERMISTON, OR",2
"HERMITAGE, PA",2
"HERMOSA BEACH, CA",6
"HERNANDO, MS",2
"HERNDON, VA",9
"HERNDON, VT",1
"HEROD, IL",1
"HERRIMAN, UT",5
"HERSHEY, PA",6
"HESPERIA, CA",4
"HESPERUS, CO",1
"HEYBURN, ID",1
"HIALEAH, FL",1
"HIAWATHA, IA",1
"HICKORY, NC",2
"HICKSVILLE, NY",4
"HICO, TX",1
"HIDDEN HILLS, CA",1
"HIGH POINT, NC",3
"HIGHGATE, VT",1
"HIGHLAND BEACH, FL",3
"HIGHLAND FALLS, NY",1
"HIGHLAND PARK, IL",3
"HIGHLAND PARK, NJ",1
"HIGHLAND VILLAGE, TX",2
"HIGHLAND, CA",8
"HIGHLAND, MI",1
"HIGHLAND, NY",4
"HIGHLANDS RANCH, CO",10
"HIGHLANDS, NC",4
"HILLIARD, OH",7
"HILLS, MN",1
"HILLSBORO, OR",34
"HILLSBORO, TX",1
"HILLSBOROUGH, NC",6
"HILLSBOROUGH, NJ",1
"HILLSDALE, NY",3
"HILLSIDE, NJ",3
"HILO, HI",12
"HILTON HEAD ISLAND, SC",17
"HINCKLEY, MN",2
"HINESBURG, VT",1
"HINESVILLE, GA",1
"HINGHAM, MA",1
"HINTON, WV",1
"HIRAM, GA",2
"HIXSON, TN",1
"HOBART, NY",1
"HOBE SOUND, FL",3
"HOBOKEN, NJ",4
"HODGKINS, IL",1
"HOFFMAN ESTATES, IL",3
"HOLBROOK, AZ",3
"HOLDEN BEACH, NC",1
"HOLDEN, MO",1
"HOLDERNESS, NH",1
"HOLDREGE, NE",1
"HOLIDAY, FL",2
"HOLLADAY, UT",1
"HOLLAND, MI",11
"HOLLISTER, CA",8
"HOLLY HILL, FL",2
"HOLLY SPRING, GA",1
"HOLLY SPRINGS, NC",1
"HOLLY, MI",3
"HOLLYWOOD, CA",7
"HOLLYWOOD, FL",14
"HOLMEN, WI",1
"HOLMES, NY",1
"HOLSTEIN, IA",1
"HOLTSVILLE, NY",1
"HOLY SPRINGS, NC",1
"HOLYOKE, MA",3
"HOMER, AK",1
"HOMER, NY",1
"HOMESTEAD, FL",6
"HOMESTEAD, IA",1
"HOMEWOOD, IL",2
"HOMOSASSA, FL",1
"HONEOYE FALLS, NY",1
"HONESDALE, PA",2
"HONEY BROOK, PA",1
"HONOLULU, HI",119
"HOOD RIVER, OR",8
"HOOKER, OK",1
"HOOKSETT, NH",2
"HOOKSTOWN, PA",1
"HOOVER, AL",1
"HOPE VALLEY, CA",2
"HOPE, AR",1
"HOPEWELL, VA",3
"HOPKINS, MN",2
"HOPKINSVILLE, KY",3
"HOPKINTON, MA",2
"HOPKINTON, RI",2
"HOPLAND, CA",2
"HORNBROOK, CA",2
"HORNELL, NY",1
"HORSEHEADS, NY",4
"HORSESHOE BAY, TX",2
"HORSHAM, PA",7
"HORTON, KS",1
"HOSCHTON, GA",2
"HOT SPRINGS NATIONAL PARK, AR",1
"HOT SPRINGS, AR",3
"HOT SPRINGS, NC",1
"HOT SPRINGS, SD",1
"HOT SPRINGS, VA",1
"HOUGHTON LAKE, MI",1
"HOUGHTON, MI",1
"HOUGHTON, NY",3
"HOULTON, ME",1
"HOUSTON, TX",183
"HOVLAND, MN",2
"HOWARD, PA",1
"HOWARD, WI",2
"HOWELL, MI",2
"HOWEY-IN-THE-HILLS, FL",1
"HUBER HEIGHTS, OH",1
"HUDSON, IA",1
"HUDSON, MA",2
"HUDSON, NH",1
"HUDSON, NY",4
"HUDSON, WI",3
"HUDSON, WY",1
"HUDSONVILLE, MI",1
"HUGHESVILLE, MD",2
"HULBERT, OK",1
"HUMBLE, TX",7
"HUMBOLDT, KS",1
"HUMMELS WHARF, PA",1
"HUMMELSTOWN, PA",2
"HUNKER, PA",1
"HUNT VALLEY, MD",1
"HUNTER, NY",2
"HUNTERSVILLE, NC",3
"HUNTINGDON, PA",1
"HUNTINGTON BEACH, CA",35
"HUNTINGTON STATION, NY",3
"HUNTINGTON, IN",1
"HUNTINGTON, NY",2
"HUNTINGTON, OR",1
"HUNTINGTON, VT",1
"HUNTINGTON, WV",4
"HUNTSVILLE, AL",12
"HUNTSVILLE, TX",6
"HUNTSVILLE, UT",1
"HURLEY, NY",1
"HURLOCK, MD",2
"HURON, CA",4
"HURON, OH",2
"HURRICANE, UT",2
"HURRICANE, WV",2
"HURST, TX",1
"HUTCHINSON, KS",3
"HUTCHINSON, MN",3
"HUTTO, TX",1
"HYANNIS, MA",10
"HYATTSVILLE, MD",4
"HYDE PARK, NY",1
"IDAHO FALLS, ID",5
"IDAHO SPRINGS, CO",2
"IDYLLWILD, CA",1
"IGNACIO, CO",1
"IMLAY CITY, MI",1
"IMPERIAL BEACH, CA",2
"INCLINE VILLAGE, NV",7
"INDEPENDENCE CHARTER TOWNSHIP, MI",1
"INDEPENDENCE, KS",1
"INDEPENDENCE, MO",10
"INDEPENDENCE, OR",4
"INDIALANTIC, FL",1
"INDIAN HEAD, MD",3
"INDIAN LAND, SC",1
"INDIAN LAND, SOUTH CAROLINA, SC",1
"INDIAN ROCKS BEACH, FL",3
"INDIAN SHORES, FL",1
"INDIAN SPRINGS, NV",1
"INDIAN TRAIL, NC",2
"INDIAN WELLS, CA",9
"INDIANA, PA",3
"INDIANAPOLIS, IN",44
"INDIO, CA",11
"INGLEWOOD, CA",8
"INGRAM, TX",2
"INTERLOCHEN, MI",1
"INTERVALE, NH",1
"INVER GROVE HEIGHTS, MN",2
"INVER GROVE HTS, MN",1
"INVERNESS, CA",1
"INVERNESS, FL",8
"INWOOD, NY",1
"INWOOD, WV",2
"INYOKERN, CA",1
"IONE, OR",1
"IONIA, MI",1
"IOWA CITY, IA",14
"IPSWICH, MA",2
"IRMO, SC",1
"IRONDALE, AL",1
"IRONDEQUOIT, NY",1
"IRVI, CA",1
"IRVINE, CA",188
"IRVING, TX",26
"IRVINGTON, NY",2
"IRVINGTON, VA",1
"IRWINDALE, CA",2
"ISANTI, MN",2
"ISLA VISTA, CA",2
"ISLAMORADA, FL",7
"ISLAND CITY, OR",1
"ISLANDIA, NY",1
"ISLE OF PALMS, SC",1
"ISSAQUAH, WA",19
"ITALY, TX",1
"ITASCA, IL",4
"ITHACA, NY",25
"IVINS, UT",1
"JACKMAN, ME",2
"JACKPOT, NV",1
"JACKSON HEIGHTS, NY",2
"JACKSON, CA",2
"JACKSON, MI",9
"JACKSON, MS",9
"JACKSON, NH",3
"JACKSON, TN",6
"JACKSON, WY",16
"JACKSONVILLE BEACH, FL",3
"JACKSONVILLE, AR",1
"JACKSONVILLE, FL",80
"JACKSONVILLE, NC",3
"JAMAICA PLAINS, MA",1
"JAMAICA, NY",3
"JAMESPORT, NY",2
"JAMESTOWN, CA",2
"JAMESTOWN, ND",4
"JAMESTOWN, NY",6
"JAMESVILLE, NY",2
"JAMISON, PA",1
"JANESVILLE, WI",3
"JASPER, AL",1
"JASPER, IN",2
"JASPER, TX",1
"JAY, VT",1
"JEAN, NV",1
"JEANNETTE, PA",1
"JEFFERSON CITY, MO",3
"JEFFERSON, IA",3
"JEFFERSON, LA",1
"JEFFERSON, WI",1
"JEFFERSONTOWN, KY",2
"JEFFERSONVILLE, IN",2
"JEFFERSONVILLE, OH",1
"JEKYLL ISLAND, GA",6
"JENKINTOWN, PA",3
"JENKS, OK",2
"JENNER, CA",3
"JENNINGS, MO",1
"JENSEN BEACH, FL",7
"JERSEY CITY, NJ",31
"JESSUP, MD",4
"JESUP, GA",1
"JIM THORPE, PA",1
"JOHN DAY, OR",1
"JOHNS CREEK, GA",1
"JOHNS ISLAND, SC",1
"JOHNSON CITY, TN",5
"JOHNSON CITY, TX",3
"JOHNSON, VT",2
"JOHNSTON, IA",1
"JOHNSTON, RI",5
"JOHNSTONTOWN, CO",1
"JOHNSTOWN, NY",4
"JOHNSTOWN, PA",2
"JOLIET, IL",4
"JOLON, CA",1
"JONESBORO, AR",2
"JONESBORO, GA",1
"JONESBOROUGH, TN",1
"JOPLIN, MO",10
"JOPPA, MD",1
"JORDAN, MN",1
"JORDAN, NY",1
"JOSEPH, OR",1
"JULIAN, CA",1
"JUNCTION CITY, OR",2
"JUNCTION, TX",2
"JUNEAU, AK",16
"JUNO BECH, FL",1
"JUPITER, FL",4
"KAHUKU, HI",1
"KAHULUI, HI",17
"KAILUA KONA, HI",1
"KAILUA, HI",4
"KAILUA-KONA, HI",15
"KALAMAZOO, MI",13
"KALISPELL, MT",3
"KALKASKA, MI",1
"KAMAS, UT",1
"KAMUELA, HI",2
"KANAB, UT",5
"KANE, PA",1
"KANEOHE, HI",7
"KANKAKEE, IL",2
"KANNAPOLIS, NC",1
"KANSAS CITY, KS",4
"KANSAS CITY, MO",168
"KAPOLEI, HI",19
"KATONAH, NY",3
"KATY, TX",13
"KAUKAUNA, WI",6
"KAUNAKAKAI, HI",1
"KAUNEONGA LAKE, NY",1
"KAWKAWLIN, MI",1
"KAYSVILLE, UT",8
"KEARNEY, NE",5
"KEARNEY, NJ",1
"KEARNS, UT",1
"KEARNY, NJ",1
"KEAÃÂÂAU, HI",1
"KEEDYSVILLE, MD",2
"KEENE VALLEY, NY",1
"KEENE, NH",2
"KEENE, NY",1
"KEIZER, OR",3
"KELSO, WA",2
"KENAI, AK",1
"KENMORE, WA",2
"KENNEBUNK, ME",12
"KENNEBUNKPORT, ME",8
"KENNEDY SPACE CENTER, FL",1
"KENNER, LA",6
"KENNESAW, GA",18
"KENNETT SQUARE, PA",4
"KENNEWICK, WA",7
"KENOSHA, WI",4
"KENSINGTON, NH",1
"KENT, CT",1
"KENT, OH",5
"KENT, WA",14
"KENTFIELD, CA",5
"KENTWOOD, MI",2
"KENWOOD, CA",1
"KERHONKSON, NY",1
"KERMAN, CA",3
"KERNSERSVILLE, NC",1
"KERRVILLE, TX",4
"KERSEY, CO",1
"KESWICK, VA",1
"KETTERING, OH",1
"KETTLEMAN CITY, CA",1
"KEW GARDENS, NY",2
"KEY BISCAYNE, FL",2
"KEY LARGO, FL",3
"KEY WEST, FL",16
"KEYPORT, NJ",1
"KEYSTONE HEIGHTS, FL",1
"KEYSTONE, SD",3
"KIAWAH ISLAND, SC",1
"KIHEI, HI",12
"KILDEER, IL",1
"KILL DEVIL HILLS, NC",2
"KILLEEN, TX",4
"KILLINGLY, CT",1
"KILLINGTON, VT",8
"KILN, MS",1
"KINDERHOOK, NY",2
"KING CITY, CA",4
"KING OF PRUSSIA, PA",14
"KING, NC",1
"KINGDOM CITY, MO",1
"KINGMAN, AZ",3
"KINGS PARK, NY",1
"KINGSBURG, CA",3
"KINGSLAND, GA",3
"KINGSPORT, TN",4
"KINGSTON, MA",1
"KINGSTON, NJ",1
"KINGSTON, NY",23
"KINGSTON, WA",1
"KINGSVILLE, TX",2
"KINGWOOD, TX",2
"KINSTON, NC",5
"KIRKLAND, WA",25
"KIRKSVILLE, MO",3
"KIRKWOOD, CA",1
"KIRKWOOD, NY",1
"KISSIMMEE, FL",30
"KITTANNING, PA",1
"KITTERY, ME",2
"KLAMATH FALLS, OR",4
"KLAMATH, CA",2
"KNIGHTDALE, NC",1
"KNOXVILLE, TN",43
"KODAK, TN",3
"KOHALA, HI",2
"KOKOMO, IN",1
"KOLOA, HI",2
"KREMMLING, CO",2
"KUTTAWA, KY",1
"KUTZTOWN, PA",1
"KYBURZ, CA",1
"KYLE, TX",5
"L'ANSE, MI",1
"L?HU?E, HI",1
"LA CAÃÂ±ADA FLINTRIDGE, CA",6
"LA CONNER, WA",1
"LA CRESCENTA, CA",2
"LA CROSSE, WI",6
"LA FARGE, WI",1
"LA GRANDE, OR",1
"LA HABRA, CA",6
"LA JOLLA, CA",14
"LA JUNTA, CO",2
"LA MESA, CA",6
"LA MIRADA, CA",6
"LA PALMA, CA",3
"LA PLATA, MD",1
"LA PLATA, MO",2
"LA PORTE, IN",4
"LA PORTE, TX",1
"LA QUINTA, CA",7
"LA VALE, MD",1
"LA VERKIN, UT",2
"LA VERNE, CA",2
"LA, CA",1
"LABELLE, FL",2
"LACEY, WA",8
"LADERA HEIGHTS, CA",1
"LADERA RANCH, CA",1
"LADSON, SC",2
"LADY LAKE, FL",2
"LADYSMITH, WI",1
"LAFARGE, WI",1
"LAFAYETTE HILL, PA",2
"LAFAYETTE, CA",4
"LAFAYETTE, CO",9
"LAFAYETTE, IN",7
"LAFAYETTE, LA",9
"LAFAYETTE, TN",1
"LAGRANGE, GA",5
"LAGRANGEVILLE, NY",2
"LAGUNA BEACH, CA",8
"LAGUNA HILLS, CA",2
"LAGUNA NIGUEL, CA",3
"LAGUNA WOODS, CA",3
"LAHAINA, HI",12
"LAIE, HI",2
"LAKE ARROWHEAD, CA",1
"LAKE BALBOA, CA",2
"LAKE BUENA VISTA, FL",4
"LAKE CHARLES, LA",5
"LAKE CITY, CA",1
"LAKE CITY, CO",2
"LAKE CITY, FL",3
"LAKE CITY, MN",1
"LAKE COMO, NJ",1
"LAKE ELMO, MN",3
"LAKE ELSINORE, CA",6
"LAKE FOREST, CA",6
"LAKE FOREST, IL",2
"LAKE GENEVA, WI",2
"LAKE GEORGE, NY",15
"LAKE GROVE, NY",2
"LAKE HAMILTON, AR",1
"LAKE HARMONY, PA",1
"LAKE HAVASU CITY, AZ",2
"LAKE HOPATCONG, NJ",1
"LAKE IN THE HILLS, IL",1
"LAKE JACKSON, TX",3
"LAKE KATRINE, NY",3
"LAKE LURE, NC",1
"LAKE LUZERNE, NY",1
"LAKE MARY, FL",7
"LAKE MCDONALD, MT",1
"LAKE MILLS, WI",1
"LAKE OSWEGO, OR",23
"LAKE OZARK, MO",1
"LAKE PLACID, NY",9
"LAKE STEVENS, WA",1
"LAKE VILLA, IL",1
"LAKE WALES, FL",4
"LAKE WORTH, FL",5
"LAKE ZURICH, IL",3
"LAKE, WY",1
"LAKEHEAD-LAKESHORE, CA",1
"LAKELAND, AL",1
"LAKELAND, FL",12
"LAKEMOOR, IL",1
"LAKEPORT, CA",2
"LAKESIDE, CA",2
"LAKESIDE, MT",1
"LAKEVILLE, CT",1
"LAKEVILLE, MA",1
"LAKEVILLE, MN",3
"LAKEVILLE, NY",1
"LAKEVILLE, PA",1
"LAKEWAY, TX",2
"LAKEWOOD RANCH, FL",1
"LAKEWOOD TOWNSHIP, NJ",1
"LAKEWOOD, CA",6
"LAKEWOOD, CO",13
"LAKEWOOD, NY",2
"LAKEWOOD, OH",3
"LAKEWOOD, WA",6
"LAMBERTVILLE, NJ",1
"LAMONI, IA",1
"LAMONT, CA",1
"LAMPASAS, TX",2
"LANAI CITY, HI",1
"LANCASTER, CA",28
"LANCASTER, MA",2
"LANCASTER, NY",1
"LANCASTER, OH",2
"LANCASTER, PA",33
"LANCASTER, TX",2
"LAND O LAKES, FL",1
"LANDER, WY",1
"LANDOVER HILLS, MD",1
"LANDOVER, MD",2
"LANDRUM, SC",1
"LANESBORO, MN",1
"LANGHORNE, PA",4
"LANGLEY, OK",1
"LANGLEY, WA",3
"LANHAM, MD",1
"LANSDALE, PA",1
"LANSING, MI",14
"LANTANA, FL",2
"LAOTTO, IN",1
"LAPLACE, LA",1
"LARAMIE, WY",1
"LARCHMONT, NY",3
"LAREDO, TX",3
"LARGO, FL",10
"LARKSPUR, CA",5
"LAS CRUCES, NM",4
"LAS VEGAS, NM",1
"LAS VEGAS, NV",129
"LATHAM, NY",17
"LATHROP, CA",4
"LATTA, SC",1
"LAUDERDALE-BY-THE-SEA, FL",2
"LAUGHLIN, NV",3
"LAUREL, DE",1
"LAUREL, MD",7
"LAUREL, NY",1
"LAVONIA, GA",1
"LAWRENCE OCL, KS",2
"LAWRENCE TOWNSHIP, NJ",3
"LAWRENCE, KS",4
"LAWRENCE, MA",7
"LAWRENCEVILLE, GA",18
"LAWTON, OK",1
"LAYTON, UT",2
"LAYTONVILLE, CA",3
"LEADVILLE, CO",1
"LEAGUE CITY, TX",5
"LEANDER, TX",1
"LEAVENWORTH, KS",5
"LEAVENWORTH, WA",11
"LEAWOOD, KS",8
"LEBANON, IN",1
"LEBANON, KY",1
"LEBANON, MO",1
"LEBANON, NH",2
"LEBANON, NJ",1
"LEBANON, OR",3
"LEBANON, PA",1
"LEBANON, TN",4
"LEBEC, CA",3
"LEDYARD, CT",1
"LEE VINING, CA",1
"LEE'S SUMMIT, MO",1
"LEE, MA",7
"LEES SUMMIT, MO",12
"LEESBURG, FL",4
"LEESBURG, GA",1
"LEESBURG, IN",1
"LEESBURG, VA",6
"LEESPORT, PA",1
"LEHI, UT",18
"LELAND, NC",1
"LEMON GROVE, CA",1
"LEMONT, IL",1
"LEMOORE, CA",4
"LENEXA, KS",14
"LENOIR CITY, TN",5
"LENOIR, NC",4
"LENOX, MA",8
"LEOLA, PA",1
"LEOMINSTER, MA",5
"LEROY, NY",1
"LEVITTOWN, PA",1
"LEWES, DE",7
"LEWIS CENTER, OH",1
"LEWIS, NY",1
"LEWISBERRY, PA",1
"LEWISTON, CA",1
"LEWISTON, ID",1
"LEWISTON, ME",1
"LEWISTON, MI",1
"LEWISTON, NY",2
"LEWISTOWN, MO",1
"LEWISVILLE, TX",5
"LEXINGTON, KY",12
"LEXINGTON, MA",11
"LEXINGTON, MO",4
"LEXINGTON, NC",6
"LEXINGTON, NE",3
"LEXINGTON, SC",4
"LEXINGTON, VA",6
"LIBERAL, KS",1
"LIBERTY LAKE, WA",6
"LIBERTY TOWNSHIP, OH",1
"LIBERTY, ME",1
"LIBERTY, MO",4
"LIBERTYVILLE, IL",5
"LIGHTHOUSE POINT, FL",1
"LIGONIER, IN",2
"LIHUE, HI",14
"LILBURN, GA",1
"LILLINGTON, NC",1
"LIMA, MT",1
"LIMA, NY",2
"LIMA, OH",7
"LIMERICK, PA",1
"LIMON, CO",1
"LINCOLN CITY, OR",6
"LINCOLN, CA",6
"LINCOLN, IL",1
"LINCOLN, MA",1
"LINCOLN, NE",24
"LINCOLN, NH",3
"LINCOLN, RI",2
"LINCOLNSHIRE, IL",1
"LINCOLNTON, NC",1
"LINCOLNVILLE, ME",2
"LINCOLNWOOD, IL",2
"LINDALE, TX",1
"LINDEN, TN",1
"LINDENHURST, NY",2
"LINDSAY, OK",1
"LINDSBORG, KS",1
"LINTHICUM HEIGHTS, MD",3
"LINTHICUM, MD",1
"LISBON, CT",1
"LISBON, OH",1
"LISLE, IL",3
"LITCHFIELD PARK, AZ",2
"LITHIA SPRINGS, GA",6
"LITHONIA, GA",4
"LITITZ, PA",2
"LITTLE FALLS, MN",1
"LITTLE FALLS, NJ",1
"LITTLE ORLEANS, MD",1
"LITTLE RIVER, CA",6
"LITTLE ROCK, AR",24
"LITTLE TORCH KEY, FL",1
"LITTLEROCK, CA",1
"LITTLETON, CO",11
"LITTLETON, MA",4
"LIVE OAK, FL",1
"LIVE OAK, TX",2
"LIVERMORE, CA",17
"LIVERPOOL, NY",12
"LIVINGSTON, MT",1
"LIVINGSTON, NJ",3
"LIVINGSTON, NY",1
"LIVINGSTON, TN",1
"LIVONIA, MI",3
"LIVONIA, NY",1
"LLANO, TX",1
"LOCKEFORD, CA",1
"LOCKHART, SC",1
"LOCKPORT, IL",1
"LOCKPORT, NY",4
"LOCUST GROVE, GA",1
"LODI, CA",14
"LOGAN, OH",1
"LOGAN, UT",14
"LOGAN, WV",2
"LOGANSPORT, IN",1
"LOGANVILLE, GA",3
"LOLETA, CA",2
"LOMA LINDA, CA",4
"LOMBARD, IL",5
"LOMIRA, WI",1
"LOMPOC, CA",4
"LONDON, KY",4
"LONDONDERRY, NH",3
"LONE JACK, MO",1
"LONE PINE, CA",1
"LONE TREE, CO",7
"LONG BEACH, CA",90
"LONG BEACH, WA",2
"LONG BRANCH, NJ",1
"LONG ISLAND CITY, NY",8
"LONG LAKE, NY",2
"LONGMEADOW, MA",1
"LONGMONT, CO",34
"LONGVIEW, TX",3
"LONGVIEW, WA",2
"LONGWOOD, FL",3
"LOOKOUT MOUNTAIN, GA",2
"LOOMIS, CA",1
"LOPEZ, WA",2
"LORDSBURG, NM",1
"LORETTO, KY",1
"LOS ALAMOS, CA",3
"LOS ALAMOS, NM",1
"LOS ALTOS HILLS, CA",1
"LOS ALTOS, CA",16
"LOS ANGELES, CA",759
"LOS ANGLES, CA",1
"LOS BANOS, CA",3
"LOS FELIZ, CA",1
"LOS GATOS, CA",20
"LOS LUNAS, NM",2
"LOST HILLS, CA",1
"LOTUS, CA",1
"LOUISA COUNTY, VA",1
"LOUISBURG, NC",1
"LOUISVILLE, CO",7
"LOUISVILLE, KY",46
"LOVELAND, CO",20
"LOVELAND, OH",1
"LOVELOCK, NV",1
"LOWELL, AR",2
"LOWELL, MA",24
"LOWELL, MI",2
