Model	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Infiniti QX60	2,943	3,810	2,308	560	1,244	1,306	1,870	1,663	1,801	1,813	1,489	2,072
Infiniti QX80	1,818	2,354	1,426	655	1,455	1,528	721	641	695	1,630	1,339	1,863
Jaguar E-Pace	443	393	410	117	260	273	316	281	304	-	-	-
Jaguar F-Pace	1,418	1,261	1,313	342	760	798	701	623	675	-	-	-
Jaguar F-Type	181	161	168	52	116	122	140	125	135	-	-	-
Jaguar I-Pace	158	141	147	108	240	252	175	156	169	-	-	-
Jaguar XE	187	166	173	65	144	151	140	125	135	-	-	-
Jaguar XF	67	60	62	29	64	67	70	62	68	-	-	-
Jaguar XJ	127	113	117	65	144	151	105	94	101	-	-	-
Jeep Cherokee	10,938	14,160	8,577	4,187	9,305	9,770	14,370	12,773	13,838	12,798	10,512	14,626
Jeep Compass	9,686	12,539	7,595	3,312	7,360	7,728	10,375	9,222	9,991	10,174	8,358	11,628
Jeep Gladiator	4,956	6,416	3,886	3,522	7,827	8,219	7,771	6,908	7,484	6,933	5,695	7,924
Jeep Grand Cherokee	16,267	21,060	12,756	8,339	18,530	19,457	19,793	17,594	19,060	19,205	15,776	21,949
Jeep Renegade	4,600	5,956	3,608	2,285	5,078	5,332	6,649	5,910	6,402	5,744	4,718	6,565
Jeep Wrangler	12,884	16,680	10,103	10,163	22,585	23,714	18,960	16,853	18,258	17,242	14,163	19,705
Kia Cadenza	197	192	96	50	70	65	100	53	99	115	99	129
Kia Forte	6,248	8,513	7,598	4,222	6,603	6,260	7,410	8,414	7,643	8,107	6,860	7,119
Kia K5	-	-	-	-	-	-	1,268	3,631	5,763	7,528	7,437	6,029
Kia K900	26	23	16	12	25	23	25	34	25	41	22	33
Kia Niro	1,570	1,951	1,454	774	1,318	1,185	1,307	1,991	1,682	1,524	1,144	1,534
Kia Optima	6,177	5,760	8,408	6,894	5,854	5,732	4,949	3,307	1,020	255	104	24
Kia Rio	1,628	3,082	2,135	1,436	1,760	1,706	2,056	2,097	2,143	2,104	1,728	2,052
Kia Sedona	1,012	1,416	1,180	705	1,482	1,219	1,036	1,036	1,045	1,029	797	1,233
Kia Seltos	94	2,798	2,160	1,839	3,551	3,636	4,504	5,314	5,613	5,542	5,122	6,107
Kia Sorento	5,470	6,875	5,710	4,286	7,262	8,193	8,008	7,809	6,879	5,832	2,938	5,415
Kia Soul	5,530	5,816	5,367	3,565	6,234	7,439	7,622	6,968	6,700	6,318	4,767	5,446
Kia Sportage	6,741	7,934	5,382	3,964	7,576	8,021	7,945	7,672	7,165	6,989	7,039	7,915
Kia Stinger	743	1,063	754	871	1,393	1,527	1,427	1,101	913	1,013	847	904
Kia Telluride	4,919	6,754	5,153	3,087	2,599	2,864	4,822	7,588	8,829	9,687	8,993	9,824
Land Rover Defender	-	-	-	108	240	252	456	405	439	-	-	-
Land Rover Discovery / LR4	821	730	760	234	520	546	421	374	405	-	-	-
Land Rover Discovery Sport	874	777	809	252	560	588	701	623	675	-	-	-
Land Rover Range Rover	1,486	1,321	1,376	504	1,120	1,176	1,052	935	1,013	-	-	-
Land Rover Range Rover Evoque	1,389	1,235	1,287	378	840	882	666	592	642	-	-	-
Land Rover Range Rover Sport	1,938	1,722	1,794	684	1,520	1,596	1,332	1,184	1,283	-	-	-
Land Rover Range Rover Velar	1,285	1,142	1,190	450	1,000	1,050	947	842	912	-	-	-
Lexus ES	3,037	3,356	2,854	1,397	3,105	3,260	3,868	4,366	4,541	4,117	4,290	5,101
Lexus GS	227	224	173	122	272	285	269	330	262	200	111	85
Lexus GX	1,804	1,968	1,350	1,115	2,478	2,601	2,167	2,706	2,388	2,828	2,975	4,139
Lexus IS	741	1,058	913	428	952	1,000	886	1,212	1,531	1,362	1,228	2,289
Lexus LC	98	86	56	-	70	74	89	107	131	164	188	230
Lexus LFA	-	2	-	-	-	-	-	-	1	-	-	-
Lexus LS	378	261	162	145	250	263	255	299	303	471	339	524
Lexus LX	340	291	215	174	387	407	317	422	323	408	407	821
Lexus NX	3,826	4,308	3,175	2,055	4,566	4,795	4,726	4,784	3,694	5,470	6,129	8,256
Lexus RC	289	299	169	140	312	328	341	372	389	406	347	416
Lexus RX	7,377	7,936	5,534	2,874	6,386	6,706	8,800	10,972	9,666	9,738	10,556	14,514
Lexus UX	1,504	1,350	984	632	1,404	1,475	1,722	1,521	1,525	1,527	1,470	1,848
Lincoln Aviator	1,840	2,383	1,443	723	1,606	1,687	2,145	1,907	2,066	2,184	1,942	3,154
Lincoln Continental	508	657	398	182	405	425	455	404	438	501	378	505
Lincoln MKC	1,842	2,384	1,444	983	2,185	2,294	2,470	2,196	2,378	3,053	2,242	2,755
Lincoln MKT	35	46	28	4	8	8	8	7	8	12	6	159
Lincoln MKX/Nautilus	1,704	2,206	1,336	906	2,014	2,115	2,024	1,799	1,949	2,123	1,874	2,693
Lincoln MKZ	1,131	1,464	887	537	1,194	1,254	1,285	1,143	1,238	791	583	1,011
Lincoln Navigator	1,243	1,609	974	495	1,100	1,155	1,275	1,133	1,227	1,386	1,362	2,294
Mazda 2	-	-	-	-	-	-	-	-	-	-	-	3,256
Mazda 3	2,496	3,759	1,863	1,492	3,368	3,250	3,231	3,175	2,535	2,570	2,613	-
Mazda 6	1,755	1,730	1,021	746	1,477	1,356	1,199	1,230	1,451	1,356	1,196	1,687
Mazda CX-3	1,146	947	459	363	842	1,000	959	860	436	473	413	437
Mazda CX-30	2,368	3,754	2,242	1,483	3,583	3,526	3,787	3,862	3,188	3,214	2,649	4,408
Mazda CX-5	12,908	14,462	7,841	5,220	12,140	12,501	11,878	13,745	13,582	11,890	12,299	17,954
Mazda CX-9	2,552	2,926	1,741	1,084	2,421	2,727	2,335	2,443	2,183	2,382	1,972	2,872
Mazda MX-5 Miata	396	807	497	552	1,102	966	696	774	862	851	610	694
Mercedes-Benz A-Class	1,201	1,555	942	739	1,642	1,724	1,378	1,225	1,327	-	-	-
Mercedes-Benz AMG GT	314	407	246	153	153	356	263	234	253	-	-	-
Mercedes-Benz C-Class	2,227	2,883	1,746	-	2,610	2,741	2,530	2,249	2,436	-	-	-
Mercedes-Benz CLA-Class	1,065	1,379	835	1,175	1,172	1,231	789	701	760	-	-	-
Mercedes-Benz E / CLS-Class	2,293	2,969	1,798	1,234	2,743	2,880	2,271	2,018	2,187	-	-	-
Mercedes-Benz G-Class	529	685	415	313	696	731	630	560	606	-	-	-
Mercedes-Benz GL/GLS-Class	2,073	2,683	1,625	945	2,101	2,206	1,857	1,650	1,788	-	-	-
Mercedes-Benz GLA-Class	1,614	2,089	1,266	509	1,131	1,188	3,055	2,715	2,942	-	-	-
Mercedes-Benz GLB	1,566	2,027	1,228	1,206	2,680	2,814	2,521	2,241	2,428	-	-	-
Mercedes-Benz GLC/GLK-Class	4,254	5,508	3,336	1,703	3,784	3,974	4,007	3,562	3,859	-	-	-
Mercedes-Benz GLE-Class	3,833	4,963	3,006	1,710	3,800	3,990	3,807	3,384	3,666	-	-	-
Mercedes-Benz Metris	732	948	574	630	1,400	1,470	1,753	1,558	1,688	-	-	-
Mercedes-Benz S-Class	768	995	603	327	727	763	858	763	826	-	-	-
Mercedes-Benz SL-Class	130	169	102	71	158	165	195	173	187	-	-	-
Mercedes-Benz SLC-Class	136	176	107	90	200	210	255	227	246	-	-	-
Mercedes-Benz Sprinter	1,710	2,214	1,341	1,307	2,904	3,049	3,506	3,117	3,377	-	-	-
Mini Cooper	1,157	1,498	907	656	1,457	1,530	2,119	1,877	1,998	1,850	1,520	2,115
Mini Countryman	544	704	426	296	658	691	1,054	933	993	1,034	849	1,181
Mitsubishi Eclipse Cross	2,118	2,036	1,030	413	367	382	852	757	820	521	428	595
Mitsubishi Mirage	1,511	1,852	1,283	1,352	1,202	1,252	2,047	1,820	1,972	1,634	1,342	1,868
Mitsubishi Outlander	3,891	5,291	3,627	972	864	900	2,778	2,470	2,675	1,236	1,016	1,413
Mitsubishi Outlander PHEV	95	151	101	101	90	94	332	295	320	130	107	148
Mitsubishi Outlander Sport	3,011	6,213	3,353	1,495	1,329	1,384	2,707	2,406	2,606	1,461	1,200	1,670
Nissan 370Z	182	236	143	135	300	315	178	159	172	46	37	52
Nissan Altima	15,378	19,909	12,059	3,906	8,681	9,115	9,830	8,738	9,466	13,800	11,335	15,771
Nissan Armada	2,607	3,375	2,044	923	2,051	2,153	1,531	1,361	1,474	715	587	817
Nissan Frontier	3,339	4,323	2,618	1,583	3,518	3,693	2,529	2,248	20,407	3,562	2,926	4,071
Nissan GT-R	19	24	15	13	28	29	40	35	38	21	17	24
Nissan Kicks	4,537	5,874	3,558	1,655	3,677	3,861	6,830	6,071	6,577	5,471	4,494	6,253
Nissan Leaf	636	823	499	189	420	441	672	597	647	1,566	1,280	1,789
Nissan Maxima	1,982	2,566	1,554	717	1,673	1,673	1,392	1,237	1,340	1,352	1,110	1,545
Nissan Murano	5,094	6,595	3,994	2,573	5,717	6,003	5,219	4,639	5,026	4,519	3,712	5,165
Nissan NV	1,211	1,568	950	520	1,155	1,213	1,318	1,172	1,270	1,643	1,350	1,878
Nissan NV200	1,540	1,993	1,207	583	1,295	1,360	1,674	1,488	1,612	1,476	1,212	1,686
Nissan Pathfinder	5,876	7,608	4,608	1,595	3,544	3,722	3,707	3,295	3,570	3,729	3,063	4,262
Nissan Quest	-	-	-	-	-	-	-	-	-	-	-	-
Nissan Rogue	19,396	25,111	15,210	8,505	18,900	19,845	21,192	18,837	20,407	20,421	16,774	23,338
Nissan Sentra	7,756	10,041	6,082	3,583	7,963	8,361	9,147	8,131	8,808	8,357	6,865	9,551
Nissan Titan	1,862	2,410	1,460	1,164	2,586	2,715	2,527	2,246	2,434	2,374	1,950	2,713
Nissan Versa	3,955	5,120	3,101	1,380	3,066	3,220	3,670	3,262	3,534	6,060	4,978	6,926
Porsche 718	130	168	102	85	189	198	380	338	366	503	413	575
Porsche 911	841	1,089	660	404	898	943	549	488	529	822	676	940
Porsche Cayenne	1,241	1,607	973	688	1,529	1,605	1,581	1,405	1,523	2,004	1,646	2,290
Porsche Macan	1,227	1,588	962	714	1,586	1,665	1,917	1,704	1,846	1,830	1,503	2,091
Porsche Panamera	385	498	302	157	348	366	373	332	359	253	208	290
Porsche Taycan	72	83	56	147	327	344	652	579	627	512	420	585
Ram Pickup	41,836	54,163	32,807	21,141	46,979	49,328	54,756	48,672	52,728	54,403	44,688	62,175
Ram ProMaster	3,113	4,030	2,441	1,424	3,165	3,323	5,610	4,986	5,402	5,755	4,727	6,577
Ram ProMaster City	681	881	534	418	929	975	1,059	941	1,020	1,002	823	1,145
Subaru Ascent	5,606	5,982	4,036	3,954	5,740	6,079	6,075	6,619	5,744	5,865	5,231	6,692
Subaru BRZ	112	166	114	105	227	238	266	267	251	221	129	171
Subaru CrossTrek	8,131	8,287	5,098	4,489	9,486	10,241	8,913	10,329	11,950	14,994	12,841	14,957
Subaru Forester	13,209	16,458	9,413	9,431	17,859	19,490	15,313	17,261	15,648	14,697	12,211	16,006
Subaru Impreza	3,978	3,916	2,395	1,857	3,085	3,389	4,259	4,654	4,622	4,329	3,174	3,970
Subaru Impreza WRX	1,399	1,787	1,354	1,368	2,255	2,170	1,845	1,218	2,040	2,060	1,714	1,968
Subaru Legacy	2,471	2,434	1,630	1,358	1,954	2,054	2,629	2,681	2,825	2,490	2,192	2,522
Subaru Outback	11,379	12,665	8,571	8,058	11,382	10,250	12,158	14,856	17,023	16,755	12,921	17,272
Tesla Model 3	19,000	17,500	8,000	5,400	12,000	12,600	31,208	27,740	30,052	-	-	-
Tesla Model S	1,900	1,700	1,000	576	1,280	1,344	2,630	2,338	2,532	-	-	-
Tesla Model X	1,450	1,250	1,000	648	1,440	1,512	2,735	2,431	2,634	-	-	-
Tesla Model Y	-	-	-	-	-	-	12,273	10,909	11,818	-	-	-
Toyota 4Runner	9,342	10,912	7,818	5,284	11,742	12,330	9,310	9,860	10,229	12,940	12,416	16,869
Toyota 86 / FR-S	222	280	202	116	258	271	231	236	152	172	131	205
Toyota Avalon	1,510	1,550	1,020	627	1,393	1,463	1,762	1,813	1,833	1,857	1,680	1,913
Toyota C-HR	2,961	4,439	2,972	1,989	4,421	4,642	3,677	3,897	4,606	3,358	2,666	3,308
Toyota Camry	24,824	29,245	23,119	8,768	19,484	20,459	22,792	27,892	28,362	29,666	29,373	30,364
Toyota Corolla	23,477	26,590	19,147	7,270	16,155	16,963	17,564	19,154	19,894	21,569	23,987	25,409
Toyota Highlander	17,009	20,174	10,707	5,613	12,472	13,096	18,128	21,795	22,307	22,262	21,935	26,778
Toyota Land Cruiser	215	226	173	114	254	267	209	161	141	412	368	606
Toyota Mirai	57	59	31	11	25	26	27	64	41	27	111	20
Toyota Prius Family	4,089	4,532	2,862	1,620	3,600	3,780	4,391	3,905	3,787	3,633	3,248	4,078
Toyota RAV4	33,130	39,626	24,875	15,431	34,292	36,006	36,323	39,239	43,652	40,717	40,250	46,846
Toyota Sequoia	505	571	332	202	448	470	666	769	770	831	752	1,048
Toyota Sienna	3,934	4,778	3,164	960	2,133	2,239	3,462	3,987	4,124	2,812	3,779	7,513
Toyota Supra	342	398	273	231	512	538	515	500	489	677	708	704
Toyota Tacoma	17,112	20,609	15,915	9,191	20,425	21,446	17,412	20,579	20,929	23,774	22,456	28,957
Toyota Tundra	6,655	8,059	6,944	4,900	10,889	11,433	9,066	10,130	8,738	9,999	10,266	12,124
Toyota Venza	-	-	-	-	-	-	-	43	1,625	3,510	3,400	4,495
Toyota Yaris	860	965	591	236	525	551	509	726	691	442	199	141
Volkswagen Arteon	256	331	201	143	319	335	370	329	357	324	266	371
Volkswagen Atlas	5,004	6,479	3,924	2,938	6,528	6,855	8,482	7,539	8,168	6,870	5,644	7,852
Volkswagen Atlas Sport	-	-	-	-	-	-	-	-	-	3,737	3,070	4,271
Volkswagen Beetle	523	677	410	506	1,124	1,181	-	-	-	-	-	-
Volkswagen CC	6	7	4	-	-	-	-	-	-	-	-	-
Volkswagen Golf	2,501	3,238	1,961	827	1,838	1,930	1,751	1,557	1,687	1,564	1,285	1,788
Volkswagen Jetta	6,945	8,992	5,446	2,875	6,388	6,708	7,054	6,270	6,792	8,495	6,978	9,709
